archive,publication_title,publication_id,search_date,page,href,search_terms
newspaperarchive,Greensburg Standard,us/indiana/greensburg/greensburg-standard,1880-01-16,6,http://access.newspaperarchive.com/us/indiana/greensburg/greensburg-standard/1880/01-16/page-6?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=16&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Boonville Weekly Enquirer,us/indiana/boonville/boonville-weekly-enquirer,1880-01-17,,http://access.newspaperarchive.com/us/indiana/boonville/boonville-weekly-enquirer/1880/01-17?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=17&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Atchison Globe,us/kansas/atchison/atchison-globe,1880-01-17,,http://access.newspaperarchive.com/us/kansas/atchison/atchison-globe/1880/01-17?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=17&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Atchison Globe,us/kansas/atchison/atchison-globe,1880-01-17,5,http://access.newspaperarchive.com/us/kansas/atchison/atchison-globe/1880/01-17/page-5?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=17&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Sedalia Daily Democrat,us/missouri/sedalia/sedalia-daily-democrat,1880-01-18,,http://access.newspaperarchive.com/us/missouri/sedalia/sedalia-daily-democrat/1880/01-18?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=18&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Bradford Era,us/pennsylvania/bradford/bradford-era,1880-01-19,2,http://access.newspaperarchive.com/us/pennsylvania/bradford/bradford-era/1880/01-19/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=19&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Wellsboro Agitator,us/pennsylvania/wellsboro/wellsboro-agitator,1880-01-20,2,http://access.newspaperarchive.com/us/pennsylvania/wellsboro/wellsboro-agitator/1880/01-20/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=20&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Petersburg Index Appeal,us/virginia/petersburg/petersburg-index-appeal,1880-01-21,,http://access.newspaperarchive.com/us/virginia/petersburg/petersburg-index-appeal/1880/01-21?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=21&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Hagerstown Exponent,us/indiana/hagerstown/hagerstown-exponent,1880-01-22,4,http://access.newspaperarchive.com/us/indiana/hagerstown/hagerstown-exponent/1880/01-22/page-4?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=22&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Petersburg Index Appeal,us/virginia/petersburg/petersburg-index-appeal,1880-01-22,,http://access.newspaperarchive.com/us/virginia/petersburg/petersburg-index-appeal/1880/01-22?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=22&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Atchison Globe,us/kansas/atchison/atchison-globe,1880-01-23,2,http://access.newspaperarchive.com/us/kansas/atchison/atchison-globe/1880/01-23/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=23&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,New Brunswick Daily Times,us/new-jersey/new-brunswick/new-brunswick-daily-times,1880-01-23,2,http://access.newspaperarchive.com/us/new-jersey/new-brunswick/new-brunswick-daily-times/1880/01-23/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=23&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Jeffersonville Daily Evening News,us/indiana/jeffersonville/jeffersonville-daily-evening-news,1880-01-23,3,http://access.newspaperarchive.com/us/indiana/jeffersonville/jeffersonville-daily-evening-news/1880/01-23/page-3?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=23&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Janesville Gazette,us/wisconsin/janesville/janesville-gazette,1880-01-23,,http://access.newspaperarchive.com/us/wisconsin/janesville/janesville-gazette/1880/01-23?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=23&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Greencastle Dollar Press,us/indiana/greencastle/greencastle-dollar-press,1880-01-28,,http://access.newspaperarchive.com/us/indiana/greencastle/greencastle-dollar-press/1880/01-28?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=28&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Albion New Era,us/indiana/albion/albion-new-era,1880-01-29,2,http://access.newspaperarchive.com/us/indiana/albion/albion-new-era/1880/01-29/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=29&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Rockport Journal,us/indiana/rockport/rockport-journal,1880-01-29,,http://access.newspaperarchive.com/us/indiana/rockport/rockport-journal/1880/01-29?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=29&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Belleville Telescope,us/kansas/belleville/belleville-telescope,1880-01-29,,http://access.newspaperarchive.com/us/kansas/belleville/belleville-telescope/1880/01-29?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=29&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Greensburg Standard,us/indiana/greensburg/greensburg-standard,1880-01-30,2,http://access.newspaperarchive.com/us/indiana/greensburg/greensburg-standard/1880/01-30/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=30&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Chippewa Falls Herald,us/wisconsin/chippewa-falls/chippewa-falls-herald,1880-01-30,2,http://access.newspaperarchive.com/us/wisconsin/chippewa-falls/chippewa-falls-herald/1880/01-30/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=30&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Reno Evening Gazette,us/nevada/reno/reno-evening-gazette,1880-02-03,3,http://access.newspaperarchive.com/us/nevada/reno/reno-evening-gazette/1880/02-03/page-3?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=3&pm=2&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Cumberland Times,us/maryland/cumberland/cumberland-times,1880-02-04,3,http://access.newspaperarchive.com/us/maryland/cumberland/cumberland-times/1880/02-04/page-3?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=4&pm=2&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Weekly Reno Gazette,us/nevada/reno/weekly-reno-gazette,1880-02-05,5,http://access.newspaperarchive.com/us/nevada/reno/weekly-reno-gazette/1880/02-05/page-5?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=5&pm=2&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Boston Post,us/massachusetts/boston/boston-post,1880-02-05,2,http://access.newspaperarchive.com/us/massachusetts/boston/boston-post/1880/02-05/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=5&pm=2&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Boston Post,us/massachusetts/boston/boston-post,1880-02-06,3,http://access.newspaperarchive.com/us/massachusetts/boston/boston-post/1880/02-06/page-3?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=6&pm=2&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Mail,us/maryland/hagerstown/mail,1880-02-06,2,http://access.newspaperarchive.com/us/maryland/hagerstown/mail/1880/02-06/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=6&pm=2&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Boston Post,us/massachusetts/boston/boston-post,1880-02-07,3,http://access.newspaperarchive.com/us/massachusetts/boston/boston-post/1880/02-07/page-3?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=7&pm=2&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Boston Post,us/massachusetts/boston/boston-post,1880-02-09,2,http://access.newspaperarchive.com/us/massachusetts/boston/boston-post/1880/02-09/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=9&pm=2&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Boston Post,us/massachusetts/boston/boston-post,1880-02-10,2,http://access.newspaperarchive.com/us/massachusetts/boston/boston-post/1880/02-10/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=10&pm=2&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Davenport Gazette,us/iowa/davenport/davenport-gazette,1880-02-10,,http://access.newspaperarchive.com/us/iowa/davenport/davenport-gazette/1880/02-10?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=10&pm=2&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Corydon Democrat,us/indiana/corydon/corydon-democrat,1880-02-10,2,http://access.newspaperarchive.com/us/indiana/corydon/corydon-democrat/1880/02-10/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=10&pm=2&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Bloomington Daily Leader,us/illinois/bloomington/bloomington-daily-leader,1880-02-10,5,http://access.newspaperarchive.com/us/illinois/bloomington/bloomington-daily-leader/1880/02-10/page-5?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=10&pm=2&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Bloomington Daily Leader,us/illinois/bloomington/bloomington-daily-leader,1880-02-10,6,http://access.newspaperarchive.com/us/illinois/bloomington/bloomington-daily-leader/1880/02-10/page-6?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=10&pm=2&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Decatur Daily Review,us/illinois/decatur/decatur-daily-review,1880-02-10,,http://access.newspaperarchive.com/us/illinois/decatur/decatur-daily-review/1880/02-10?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=10&pm=2&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Daily Kennebec Journal,us/maine/augusta/daily-kennebec-journal,1880-02-10,3,http://access.newspaperarchive.com/us/maine/augusta/daily-kennebec-journal/1880/02-10/page-3?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=10&pm=2&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Boston Post,us/massachusetts/boston/boston-post,1880-02-12,,http://access.newspaperarchive.com/us/massachusetts/boston/boston-post/1880/02-12?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=12&pm=2&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Indiana Progress,us/pennsylvania/indiana/indiana-progress,1880-02-12,5,http://access.newspaperarchive.com/us/pennsylvania/indiana/indiana-progress/1880/02-12/page-5?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=12&pm=2&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Racine Argus,us/wisconsin/racine/racine-argus,1880-02-12,6,http://access.newspaperarchive.com/us/wisconsin/racine/racine-argus/1880/02-12/page-6?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=12&pm=2&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Waukesha Freeman,us/wisconsin/waukesha/waukesha-freeman,1880-02-12,2,http://access.newspaperarchive.com/us/wisconsin/waukesha/waukesha-freeman/1880/02-12/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=12&pm=2&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Bloomington Weekly Leader,us/illinois/bloomington/bloomington-weekly-leader,1880-02-12,2,http://access.newspaperarchive.com/us/illinois/bloomington/bloomington-weekly-leader/1880/02-12/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=12&pm=2&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Boston Post,us/massachusetts/boston/boston-post,1880-02-13,2,http://access.newspaperarchive.com/us/massachusetts/boston/boston-post/1880/02-13/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=13&pm=2&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Colorado Springs Gazette,us/colorado/colorado-springs/colorado-springs-gazette,1880-02-13,4,http://access.newspaperarchive.com/us/colorado/colorado-springs/colorado-springs-gazette/1880/02-13/page-4?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=13&pm=2&py=1880&pep=lynching&pr=100,lynching
